bank_uri	kmers_nb_distinct	kmers_nb_solid	kmers_nb_weak	kmers_percent_weak
	38369463565	7499845727	30869617838	80.5
	26566325155	4910468623	21655856532	81.5
	16679114759	2525879185	14153235574	84.9
	20125976637	3317750028	16808226609	83.5
	28699818214	5059262788	23640555426	82.4
	23413166732	4114283870	19298882862	82.4
	16678469624	2526097607	14152372017	84.9
	29606426359	5702776084	23903650275	80.7
	32546398297	6490380953	26056017344	80.1
	13034289817	1749373596	11284916221	86.6
	21684600938	3418364671	18266236267	84.2
	26566377354	4910320457	21656056897	81.5
	9130666014	1011092058	8119573956	88.9
	13999426547	1806041207	12193385340	87.1
	35399938108	7271344301	28128593807	79.5
	29606126059	5703138945	23902987114	80.7
	35399938108	7271344301	28128593807	79.5
	25261267890	4238478568	21022789322	83.2
	9789446716	1047194587	8742252129	89.3
	9788556352	1047480359	8741075993	89.3
	25260676910	4238484358	21022192552	83.2
	20125470169	3317728859	16807741310	83.5
	17943256139	2604199256	15339056883	85.5
	35399938108	7271344301	28128593807	79.5
	38369463565	7499845727	30869617838	80.5
	13998475881	1806235160	12192240721	87.1
	5207380158	381803836	4825576322	92.7
	38369463565	7499845727	30869617838	80.5
	23412358516	4114288181	19298070335	82.4
	21684161755	3418353699	18265808056	84.2
	17943880893	2603969566	15339911327	85.5
	32546453882	6490255340	26056198542	80.1
	35240639635	6691201464	28549438171	81.0
	28700058772	5059133227	23640925545	82.4
	9130067023	1011067654	8118999369	88.9
	16678215695	2525736142	14152479553	84.9
	35240272069	6691380756	28548891313	81.0
	4865796416	364383326	4501413090	92.5
	29605640652	5703176383	23902464269	80.7
	25260580357	4238601336	21021979021	83.2
	13997881095	1806190130	12191690965	87.1
	21684703031	3418395284	18266307747	84.2
	28700546537	5058967037	23641579500	82.4
	9130996736	1010787700	8120209036	88.9
	5207775386	381718581	4826056805	92.7
	32021681068	5877206575	26144474493	81.6
	20125871852	3317791971	16808079881	83.5
	13033347450	1749565172	11283782278	86.6
	17942943588	2603864650	15339078938	85.5
	32021105669	5877603505	26143502164	81.6
	4866152678	364294186	4501858492	92.5
	32021447469	5877541573	26143905896	81.6
	9789112773	1047502406	8741610367	89.3
	26567107954	4910149391	21656958563	81.5
	13032682314	1749493713	11283188601	86.6
	4866552090	364269446	4502282644	92.5
	23412445808	4114413953	19298031855	82.4
	32546591324	6490196646	26056394678	80.1
	5208070720	381696845	4826373875	92.7
	35240461431	6691232693	28549228738	81.0
	11015819448	1710967659	9304851789	84.5
	13598970439	2346661431	11252309008	82.7
	5254057600	532892984	4721164616	89.9
	8259275760	1097950902	7161324858	86.7
	1898084427	95209843	1802874584	95.0
	6794192194	805547111	5988645083	88.1
	12324979930	2028925084	10296054846	83.5
	6793117409	806051417	5987065992	88.1
	9662784553	1399688200	8263096353	85.5
	12326212689	2027729010	10298483679	83.5
	13596683317	2347563957	11249119360	82.7
	5258346457	532659527	4725686930	89.9
	3632692605	289474880	3343217725	92.0
	1896982001	95325003	1801656998	95.0
	11016916926	1711880902	9305036024	84.5
	3634631679	289165145	3345466534	92.0
	14830589292	2668169623	12162419669	82.0
	14830589292	2668169623	12162419669	82.0
	9661841418	1401480347	8260361071	85.5
	8257143141	1097251452	7159891689	86.7
