bin	uniqueBacSCGs	redundantBacSCGs	uniqueArcSCGs	redundantArcSCGs	bacRatio	arcRatio	size	contigs	N50	binScore	SCG_completeness	SCG_redundancy
salade_I_fev__hifi_reads_bin.full.307	47	0	16	1	0.92156862745098	0.421052631578947	4087471	11	803496	0.9216	92.16	2.63
salade_I_fev__hifi_reads_bin.full.260	47	1	10	0	0.92156862745098	0.263157894736842	4348485	70	106278	0.899	92.16	1.96
salade_I_fev__hifi_reads_bin.full.281	45	0	12	0	0.882352941176471	0.315789473684211	3287057	56	97363	0.8824	88.24	0
salade_I_fev__hifi_reads_bin.full.291	44	0	10	0	0.862745098039216	0.263157894736842	6436620	187	39733	0.8627	86.27	0
salade_I_fev__hifi_reads_bin.full.165	50	6	12	3	0.980392156862745	0.315789473684211	5109970	94	70598	0.8496	98.04	11.76
salade_I_fev__hifi_reads_bin.lin.293	41	0	11	0	0.803921568627451	0.289473684210526	5060770	134	41601	0.8039	80.39	0
salade_I_fev__hifi_reads_bin.full.212	44	3	9	0	0.862745098039216	0.236842105263158	4097568	65	77917	0.7924	86.27	5.88
salade_I_fev__hifi_reads_bin.full.498	41	1	11	0	0.803921568627451	0.289473684210526	3502413	107	34432	0.7795	80.39	1.96
salade_I_fev__hifi_reads_bin.full.277	43	3	11	0	0.843137254901961	0.289473684210526	4436194	60	104898	0.7719	84.31	5.88
salade_I_fev__hifi_reads_bin.full.330	44	5	11	3	0.862745098039216	0.289473684210526	3524673	114	35119	0.7455	86.27	9.8
salade_I_fev__hifi_reads_bin.lin.236	42	4	13	1	0.823529411764706	0.342105263157895	4151905	60	84892	0.7272	82.35	7.84
salade_I_fev__hifi_reads_bin.lin.306	39	2	5	1	0.764705882352941	0.131578947368421	2447139	40	109693	0.7143	76.47	3.92
salade_I_fev__hifi_reads_bin.full.147	46	8	11	3	0.901960784313726	0.289473684210526	5692005	200	29684	0.7094	90.2	15.69
salade_I_fev__hifi_reads_bin.full.266	38	2	10	1	0.745098039215686	0.263157894736842	3226286	133	24999	0.6939	74.51	3.92
salade_I_fev__hifi_reads_bin.full.376	35	0	8	1	0.686274509803922	0.210526315789474	1790501	61	31774	0.6863	68.63	2.63
salade_I_fev__hifi_reads_bin.full.391	50	14	16	4	0.980392156862745	0.421052631578947	5785821	99	92585	0.6751	98.04	27.45
salade_I_fev__hifi_reads_bin.lin.536	38	3	10	2	0.745098039215686	0.263157894736842	1572214	48	34857	0.6683	74.51	5.88
salade_I_fev__hifi_reads_bin.full.175	39	4	12	1	0.764705882352941	0.315789473684211	4504766	139	35184	0.664	76.47	7.84
salade_I_fev__hifi_reads_bin.full.242	33	0	7	0	0.647058823529412	0.184210526315789	3456956	91	47344	0.6471	64.71	0
salade_I_fev__hifi_reads_bin.lin.297	32	0	4	0	0.627450980392157	0.105263157894737	2457141	72	41707	0.6275	62.75	0
salade_I_fev__hifi_reads_bin.full.424	40	6	9	2	0.784313725490196	0.236842105263158	3879210	102	40763	0.6257	78.43	11.76
salade_I_fev__hifi_reads_bin.lin.4	31	0	1	0	0.607843137254902	0.0263157894736842	466080	16	36214	0.6078	60.78	0
salade_I_fev__hifi_reads_bin.lin.170	32	1	7	0	0.627450980392157	0.184210526315789	1852102	61	34113	0.5989	62.75	1.96
salade_I_fev__hifi_reads_bin.lin.133	32	1	2	0	0.627450980392157	0.0526315789473684	1489644	53	29447	0.5989	62.75	1.96
salade_I_fev__hifi_reads_bin.full.566	33	2	7	2	0.647058823529412	0.184210526315789	3612992	90	50094	0.5911	64.71	5.26
salade_I_fev__hifi_reads_bin.full.88	30	0	4	0	0.588235294117647	0.105263157894737	2143590	73	30426	0.5882	58.82	0
salade_I_fev__hifi_reads_bin.full.251	30	0	8	0	0.588235294117647	0.210526315789474	2459512	90	29189	0.5882	58.82	0
salade_I_fev__hifi_reads_bin.full.166	30	0	9	2	0.588235294117647	0.236842105263158	2601702	101	26776	0.5882	58.82	5.26
salade_I_fev__hifi_reads_bin.full.499	31	1	3	1	0.607843137254902	0.0789473684210526	1928223	70	28767	0.5787	60.78	2.63
salade_I_fev__hifi_reads_bin.full.403	29	0	5	0	0.568627450980392	0.131578947368421	800417	39	22480	0.5686	56.86	0
salade_I_fev__hifi_reads_bin.full.136	31	2	6	0	0.607843137254902	0.157894736842105	3270291	95	38334	0.5495	60.78	3.92
salade_I_fev__hifi_reads_bin.lin.135	31	2	5	1	0.607843137254902	0.131578947368421	2232099	77	30354	0.5495	60.78	3.92
salade_I_fev__hifi_reads_bin.full.75	31	2	4	0	0.607843137254902	0.105263157894737	838598	32	29245	0.5495	60.78	3.92
salade_I_fev__hifi_reads_bin.lin.330	28	0	8	0	0.549019607843137	0.210526315789474	1555981	39	50037	0.549	54.9	0
salade_I_fev__hifi_reads_bin.full.324	28	0	7	0	0.549019607843137	0.184210526315789	1637370	57	30967	0.549	54.9	0
salade_I_fev__hifi_reads_bin.lin.120	28	0	6	0	0.549019607843137	0.157894736842105	1503731	63	24474	0.549	54.9	0
salade_I_fev__hifi_reads_bin.full.397_sub	29	0	2	0	0.568627450980392	0.0526315789473684	44736	1	44736	0.5686	56.86	0
salade_I_fev__hifi_reads_bin.full.244	42	12	12	5	0.823529411764706	0.315789473684211	2825703	100	29467	0.5345	82.35	23.53
salade_I_fev__hifi_reads_bin.lin.315	27	0	7	1	0.529411764705882	0.184210526315789	1666858	54	33846	0.5294	52.94	2.63
salade_I_fev__hifi_reads_bin.full.100	26	0	3	0	0.509803921568627	0.0789473684210526	1960594	64	31063	0.5098	50.98	0
